Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2018,9,Female,14,Right-Handed,,,,2,Bus,20,0.735,52,None,,,,,,,,Same length,,,Ring finger,October,Fall,Yes,No,Rice/Noodle dishes,Water,Languages,5,9,3,Yes - broadband connection,Text messaging,3,6,,,,,,,,,,,,,Some,Some college,Rap/Hip hop,Freeze time,Rich,Relative,International aid
USA,NY,2018,12,Female,17,Right-Handed,154,22,156,2,Rail (Train/Tram/Subway),65,0.452,38,Walking/Hiking,400,600,400,500,800,950,22,Right foot,85,89,Ring finger,April,Fall,Yes,No,Desserts,Water,Languages,6,9,5,Yes - broadband connection,Internet chat or instant messaging,4,10,6,1,20,8,0,0,2,3,7,3,0,2,A lot,Graduate degree,Punk rock,Freeze time,Happy,Teacher,International aid
USA,NY,2018,12,Male,17,Right-Handed,172,26.5,187.5,1,Rail (Train/Tram/Subway),50,0.443,46,None,800,600,500,900,800,900,26.5,Same length,93,96,Ring finger,March,Summer,Yes,No,Poultry,Juice,History,8,8,2,Yes - broadband connection,Internet chat or instant messaging,0,2,1,10,5,0,0,15,1,6,30,4,0,4,Some,Graduate degree,Other,Telepathy,Happy,Relative,Education/Youth development
USA,NY,2018,12,Female,17,Right-Handed,168,22,162,1,Rail (Train/Tram/Subway),45,0.4,55,Swimming,1000,900,850,850,1000,950,23,Left foot,95,85,Index finger,November,Summer,Yes,No,Seafood,Water,Science,6,9,4,Yes - broadband connection,In person,36,45,5,3,20,10,0,10,10,7,50,20,0,5,A lot,Graduate degree,Rock and roll,Telepathy,Happy,Friend,Environment
USA,NY,2018,12,Male,17,Right-Handed,173,28,70,3,Car,5,0.277,46,Athletics,1000,1000,1000,1000,1000,1000,28,Same length,81,78,Index finger,July,Spring,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,6,8,4,Yes - broadband connection,Text messaging,85,104,0,1,24,14,3,7,0,4,24,0,0,2,Very little,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,Education/Youth development
USA,NY,2018,12,Male,18,Right-Handed,171,25,170,2,Bus,80,0.375,40,Running/Jogging,500,500,700,700,1000,1000,25,Same length,95,98,Ring finger,June,Summer,Yes,No,Meat,Water,Social studies,7,9,2,Yes - broadband connection,Text messaging,100,100,5,1,5,10,1,20,3,2,30,0,0,5,None,Graduate degree,Pop,Telepathy,Rich,Relative,International aid
USA,NY,2018,12,Female,18,Right-Handed,125,22,150,1,Car,20,0.34,44,Soccer,1000,1000,900,850,900,1000,22.5,Left foot,60,60,Same length,January,Spring,Yes,No,Pizza/Pasta,Energy drink,Mathematics and statistics,5.5,10.5,5,Yes - broadband connection,Text messaging,2000,2000,10,4,14,20,15,30,30,10,50,5,25,20,A lot,Some college,Other,Telepathy,Happy,Actor,Education/Youth development
USA,NY,2018,12,Female,18,Right-Handed,162.5,23,161.5,2,Rail (Train/Tram/Subway),75,0.393,41,Athletics,1000,1000,1000,1000,1000,1000,23,Same length,92,105,Ring finger,May,Spring,No,No,Desserts,Water,Mathematics and statistics,6,10,3,Yes - broadband connection,Cell phone,300,300,10,14,15,10,10,2,10,10,20,8,0,8,A lot,Graduate degree,Rap/Hip hop,Freeze time,Rich,Friend,Environment
USA,NY,2018,12,Female,16,Left-Handed,149.5,23.1,153,1,Rail (Train/Tram/Subway),54,1.1,36,Athletics,417,413,513,508,717,1000,22.9,Right foot,86,87,Ring finger,July,Summer,Yes,No,Pizza/Pasta,Water,Computers and technology,6,10,6,Yes - broadband connection,Text messaging,7,8,3,0,8,25,0,5,0,2,10,1,0,0,A lot,Undergraduate degree,Punk rock,Freeze time,Happy,Relative,Health
USA,NY,2018,12,Female,17,Right-Handed,165,21,,2,Rail (Train/Tram/Subway),55,0.345,37,Tennis,800,750,750,750,750,800,21,Same length,84,87,Ring finger,December,Winter,Yes,No,No favorite,Water,Languages,5,10,4,Yes - broadband connection,Internet chat or instant messaging,200,500,12,1,15,13,2,0,10,5,10,0,4,5,A lot,Other,Other,Invisibility,Happy,Relative,Health
